t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1309125,0.3006,-0.0803,0.9286,0.0,0.5069,0.0,0.1829
1309142,0.3062,-0.052,0.9155,0.0,0.5077,0.0,0.1861
1309158,0.3071,-0.0938,0.9511,0.0,0.5101,0.0,0.1797
1309174,0.2994,-0.0788,0.9285,0.0,0.5069,0.0,0.1797
1309191,0.3131,-0.0588,0.916,0.0,0.5069,0.0,0.1797
1309207,0.3052,-0.0658,0.9205,0.0,0.5069,0.0,0.1748
1309224,0.3006,-0.0716,0.9182,0.0,0.5093,0.0,0.1829
1309240,0.3042,-0.0828,0.9242,0.0,0.5109,0.0,0.1845
1309256,0.3052,-0.0655,0.9108,0.0,0.5061,0.0,0.1845
1309273,0.2999,-0.0679,0.9122,0.0,0.5053,0.0,0.1789
1309289,0.3088,-0.0742,0.9205,0.0,0.5028,0.0,0.1813
1309305,0.3112,-0.0698,0.9191,0.0,0.5077,0.0,0.1797
1309322,0.3047,-0.0689,0.92,0.0,0.5077,0.0,0.1797
1309338,0.3032,-0.0717,0.9198,0.0,0.5053,0.0,0.1845
1309355,0.3167,-0.0722,0.9121,0.0,0.502,0.0,0.1837
1309371,0.3046,-0.0678,0.9135,0.0,0.5077,0.0,0.1764
1309387,0.2998,-0.0781,0.9121,0.0,0.4988,0.0,0.1845
1309404,0.302,-0.0783,0.9216,0.0,0.5061,0.0,0.1813
1309420,0.3025,-0.0746,0.924,0.0,0.5069,0.0,0.1861
1309437,0.3106,-0.0778,0.9297,0.0,0.5053,0.0,0.1861
1309453,0.3144,-0.0855,0.9142,0.0,0.502,0.0,0.1829
1309469,0.2799,-0.0674,0.9162,0.0,0.502,0.0,0.1821
1309486,0.2775,-0.0753,0.9266,0.0,0.5069,0.0,0.1829
1309502,0.2691,-0.0779,0.9284,0.0,0.5069,0.0,0.1877
1309519,0.3031,-0.0747,0.9313,0.0,0.5133,0.0,0.1837
1309535,0.3508,-0.0982,0.9578,0.0,0.5117,0.0,0.1845
1309552,0.3326,-0.0631,0.8824,0.0,0.5085,0.0,0.1821
1309568,0.2511,-0.0726,0.9786,0.0,0.5069,0.0,0.1764
1309585,0.3087,-0.0536,0.9103,0.0,0.5109,0.0,0.1781
1309601,0.3412,-0.0321,0.8187,0.0,0.5117,0.0,0.1829
1309617,0.328,-0.1011,0.9163,0.0,0.5117,0.0,0.1853
1309634,0.3977,-0.0889,0.8795,0.0,0.5085,0.0,0.1772
1309650,0.3041,-0.0536,0.9093,0.0,0.5069,0.0,0.1781
1309667,0.2701,-0.0634,0.9595,0.0,0.5109,0.0,0.1821
1309683,0.3226,-0.0878,0.9313,0.0,0.5149,0.0,0.1829
1309700,0.3322,-0.0582,0.9178,0.0,0.523,0.0,0.1861
1309716,0.3176,-0.0402,0.8792,0.0,0.5133,0.0,0.1813
1309732,0.2984,-0.0576,0.9063,0.0,0.502,0.0,0.1781
1309749,0.2924,-0.074,0.9257,0.0,0.5085,0.0,0.1821
1309765,0.3106,-0.0741,0.9264,0.0,0.5101,0.0,0.1821
1309781,0.3159,-0.0976,0.935,0.0,0.5125,0.0,0.1829
1309798,0.3142,-0.0889,0.9247,0.0,0.5109,0.0,0.1837
1309814,0.3016,-0.0924,0.9427,0.0,0.5109,0.0,0.1821
1309831,0.2956,-0.0747,0.9248,0.0,0.5117,0.0,0.1829
1309847,0.304,-0.0634,0.9197,0.0,0.5093,0.0,0.1781
1309863,0.3107,-0.0732,0.9213,0.0,0.5133,0.0,0.1869
1309880,0.3081,-0.0709,0.9174,0.0,0.519,0.0,0.1813
1309896,0.3074,-0.074,0.914,0.0,0.519,0.0,0.1829
1309913,0.2943,-0.0715,0.9223,0.0,0.5117,0.0,0.1821
1309929,0.3045,-0.0688,0.9196,0.0,0.5093,0.0,0.1829
1309945,0.3115,-0.0696,0.9191,0.0,0.5109,0.0,0.1821
1309962,0.3101,-0.0705,0.9171,0.0,0.5093,0.0,0.1845
