t_ms,ax,ay,az,emg_env,emg_raw
1353301,0.14956,-0.1876,0.94133,0.1918,0.3666
1353317,0.14714,-0.18645,0.94508,0.4231,0.3803
1353333,0.15107,-0.18873,0.94279,0.3376,0.1998
1353349,0.1532,-0.18977,0.93654,0.0,0.004
1353365,0.14563,-0.1946,0.94173,0.0,0.1072
1353381,0.1333,-0.17966,0.95163,0.1031,0.3328
1353397,0.14009,-0.19093,0.94371,0.4053,0.4077
1353413,0.14073,-0.20314,0.94217,0.3836,0.2361
1353430,0.13749,-0.19928,0.94471,0.0,0.0322
1353446,0.13319,-0.19266,0.95058,0.0,0.0572
1353462,0.14049,-0.1972,0.9409,0.0218,0.2909
1353478,0.13819,-0.1939,0.94595,0.3731,0.4207
1353494,0.13798,-0.19244,0.94657,0.3964,0.2635
1353510,0.14171,-0.20622,0.93911,0.0,0.0475
1353526,0.14352,-0.20942,0.93847,0.0,0.0
1353542,0.14324,-0.20966,0.94036,0.0,0.2506
1353558,0.14451,-0.20734,0.93802,0.3207,0.4077
1353575,0.13777,-0.19584,0.94598,0.3964,0.2861
1353591,0.13555,-0.19191,0.94974,0.0322,0.0854
1353606,0.13869,-0.18933,0.94339,0.0,0.0
1353622,0.14062,-0.19547,0.94483,0.0,0.253
1353638,0.14592,-0.19427,0.94124,0.332,0.4101
1353655,0.14702,-0.19998,0.9375,0.3981,0.2893
1353671,0.14273,-0.19401,0.94589,0.0475,0.0878
1353687,0.14376,-0.19084,0.94624,0.0,0.0
1353703,0.14286,-0.19398,0.94248,0.0,0.2136
1353719,0.14608,-0.19426,0.94136,0.2627,0.3964
1353735,0.14549,-0.19926,0.94193,0.3924,0.3207
1353751,0.14536,-0.20101,0.94111,0.1958,0.1362
1353767,0.14238,-0.20023,0.94132,0.0,0.0
1353784,0.14506,-0.20156,0.94113,0.0,0.1748
1353800,0.14408,-0.1931,0.94559,0.216,0.3827
1353816,0.14406,-0.2016,0.94099,0.4215,0.3505
1353831,0.15028,-0.20259,0.93579,0.1982,0.1362
1353847,0.14689,-0.19678,0.93959,0.0,0.0
1353864,0.14221,-0.19535,0.94294,0.0,0.1708
1353880,0.14419,-0.18523,0.94296,0.2127,0.3763
1353896,0.14489,-0.18757,0.94275,0.4215,0.3465
1353911,0.14824,-0.19234,0.93972,0.2152,0.1394
1353927,0.14529,-0.18948,0.94436,0.0,0.0
1353944,0.14229,-0.19073,0.94476,0.0,0.174
1353960,0.14275,-0.19524,0.94351,0.2111,0.3787
1353976,0.14077,-0.19036,0.94712,0.4239,0.3699
1353991,0.13983,-0.19473,0.94535,0.2127,0.1394
1354007,0.14404,-0.20076,0.94328,0.0,0.0
1354023,0.15067,-0.21032,0.93487,0.0,0.1708
1354040,0.14707,-0.19956,0.93894,0.2054,0.3779
1354056,0.14785,-0.19805,0.94086,0.4263,0.3586
1354071,0.14872,-0.19186,0.94138,0.2152,0.1362
1354087,0.1437,-0.19242,0.94294,0.0,0.0
1354103,0.14145,-0.19393,0.94493,0.0,0.1652
1354120,0.14144,-0.19519,0.94387,0.2006,0.3715
1354136,0.13883,-0.19386,0.94554,0.4199,0.3795
1354151,0.12211,-0.19611,0.95437,0.2305,0.1474
1354167,0.14297,-0.19645,0.94393,0.0,0.0
1354183,0.1448,-0.19966,0.94006,0.0,0.1668
1354200,0.14599,-0.19828,0.94186,0.1724,0.3795
1354216,0.14661,-0.1964,0.94114,0.4295,0.3554
1354232,0.14709,-0.19655,0.93929,0.2869,0.1724
1354248,0.14628,-0.20063,0.9388,0.0,0.0
1354265,0.14692,-0.20372,0.93832,0.0,0.0451
1354281,0.1417,-0.19644,0.94474,0.0218,0.2869
1354298,0.14073,-0.19433,0.9446,0.3578,0.4191
