t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1033377,0.0992,0.0111,0.9753,0.0,0.5343,0.0,0.1732
1033394,0.0902,-0.0146,0.9569,0.0,0.531,0.0,0.1748
1033410,0.0977,0.036,0.9666,0.0,0.5318,0.0,0.1644
1033428,0.1235,0.0061,0.9849,0.0,0.5262,0.0,0.1692
1033444,0.0933,-0.0074,0.9745,0.0,0.5327,0.0,0.1668
1033461,0.1217,0.0328,1.0473,0.0,0.5359,0.0,0.1748
1033477,0.1126,0.0235,1.0253,0.0,0.5351,0.0,0.1732
1033494,0.1158,0.0187,0.9903,0.0,0.5278,0.0,0.1716
1033510,0.1207,0.0277,1.0025,0.0,0.5327,0.0,0.1708
1033527,0.1189,0.0168,0.9827,0.0,0.5327,0.0,0.17
1033543,0.1164,0.0173,0.981,0.0,0.5278,0.0,0.1716
1033559,0.1086,0.0251,1.0034,0.0,0.5343,0.0,0.1724
1033576,0.105,0.0207,0.9586,0.0,0.5359,0.0,0.1748
1033592,0.1141,-0.0088,0.977,0.0,0.5327,0.0,0.166
1033609,0.1168,0.0011,1.0061,0.0,0.5343,0.0,0.1668
1033625,0.1023,0.0204,0.9396,0.0,0.5327,0.0,0.1668
1033642,0.0883,0.027,0.9674,0.0,0.5302,0.0,0.17
1033658,0.0988,0.0183,0.95,0.0,0.5343,0.0,0.1748
1033675,0.0974,0.0142,0.9378,0.0,0.5327,0.0,0.174
1033691,0.0923,0.0021,0.9153,0.0,0.5318,0.0,0.1652
1033707,0.104,0.0106,0.9558,0.0,0.5254,0.0,0.1676
1033724,0.1022,0.006,0.9546,0.0,0.5278,0.0,0.1708
1033740,0.0976,-0.0191,0.9574,0.0,0.5278,0.0,0.1708
1033757,0.1026,0.009,0.9663,0.0,0.5262,0.0,0.17
1033773,0.0982,-0.0037,0.9898,0.0,0.5262,0.0,0.1684
1033790,0.1145,0.01,0.9682,0.0,0.531,0.0,0.166
1033806,0.1104,0.0244,0.9866,0.0,0.531,0.0,0.1684
